Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Diarrheal Cases,Cholera Cases,Typhoid Cases,Infant Mortality Rate,Access to Clean Water (%),Sanitation Coverage (%),GDP per Capita,Healthcare Access Index,Urbanization Rate,Rainfall,Temperature,Population Density
Country A,East,2022,Well,Filtration,54.927648762995176,7.177653232053272,4.508308807419614,9.034656530443597,46.68545879176155,9.988050154508134,15,0,18,1,41.292483200429444,75.43373488522934,45.13211354793624,4853.987573266515,46.56872433907869,80.96816519897162,2574.919358755692,20.588474855084904,4049.2029004386895
Country C,Central,2023,Well,Boiling,93.39235884868783,7.953949023407356,6.830921405591919,2.457360577515166,25.029060361692373,15.65781003390173,267,28,1,22,34.56493202268751,58.521288191715925,43.15515003936949,12948.985965663573,41.32558976884862,14.876267798181386,1982.907389729613,23.356357928248542,246.95233859995432
Country C,South,2022,Piped,Boiling,83.02759508115011,7.876747093104466,3.309088512847498,10.654800347902848,41.798590891365706,10.506894855346449,213,45,0,7,2.780588345398577,61.75443866809858,47.4165463602496,11601.599867074034,20.550657553489636,27.15283396826102,2965.140954530631,34.6814238320801,4295.2677214389005
Country A,Central,2018,Piped,UV,73.57848761536474,5.671243292623796,9.70427130490261,11.934187535816635,27.74489270133203,17.43591098298562,415,80,15,24,28.716835809881257,40.095703988697046,44.81803400814812,19417.312584892632,73.5328717143103,84.48021341375062,1783.939021442805,11.685275301939653,1081.214696124292
Country A,East,2023,Piped,UV,97.37780710145518,7.79864822855275,2.6093960001115346,3.6341996514075574,27.73738525601526,7.086299083387102,455,116,6,7,11.262022918691738,71.43835975144279,62.78572534043752,3110.411259701685,77.26244880802167,30.33615940576037,2705.077896839046,16.487176134697,1057.2388570459912
Country A,North,2019,Piped,None,99.12755489686795,6.680919418732519,4.309146324355668,4.5879594721695725,16.443523251508307,8.258061700034848,57,11,3,12,42.803078225255554,65.434433330766,96.20162860709709,18710.610648163067,79.2389056018744,26.581059114926518,2584.1446127910617,38.212865827977936,2036.513812622938
Country C,East,2022,Piped,Boiling,50.41530137917927,6.442829941189721,8.333055898675305,10.802134552049798,26.321695352303436,9.379673733795142,316,83,0,6,29.745100482258014,47.66315267037602,30.787640215798863,5939.585791263681,76.85476737733089,75.7136883316104,1390.5820765294218,23.224885069231266,1749.300339242962
Country C,South,2021,River,None,55.76316933699375,6.734169552160786,8.585159729342168,4.293405916244179,17.876706924546333,16.458402771126003,110,14,12,4,37.225024047675284,53.587912029372326,35.45616077319472,1952.0548170253892,45.345646887417224,34.202179768775366,1012.1494933388782,29.609635656456827,4723.059643772545
Country C,West,2018,Spring,UV,86.02584442936654,7.853519051166545,1.6011166761473228,11.792518963339553,34.74109117335822,1.6537924111912305,81,34,18,18,47.49222551014848,82.3740398491556,86.98160884148669,18707.587892954118,77.03921638928982,22.60504669425309,2551.503097986369,11.06008175312056,4171.553175113607
Country B,East,2020,Lake,Boiling,95.67230778088629,5.522430722796806,3.4850820662356865,2.302798838789479,46.05314796862451,14.013623282571423,70,3,2,14,15.128997610370105,91.90554777274369,98.19619296140276,12190.987194238953,43.19488291137078,76.053107430762,2450.4915903505844,22.941598537759166,1063.647155914522
Country C,West,2021,Lake,None,90.71816276641461,8.076239771286723,3.900722198951656,3.9290259852719616,12.971257906952482,14.38300262613107,78,8,6,15,26.464913889082297,83.0897720255487,94.88788889331501,11401.819288677969,28.104580698327442,33.373634890009185,2826.950487419143,10.891124631697004,553.4080398864521
Country A,Central,2018,Spring,Boiling,6.269525336859472,8.95371214172322,4.584380682374757,10.73575406862667,4.252311937454412,15.433174754279467,107,16,0,25,39.05709111276065,63.12827230293337,37.684973088323744,2309.0705981882234,93.94496479066694,50.71820785091354,1105.5107581471348,10.912457872564593,163.07598594966916
Country B,South,2022,Well,UV,89.72175511248028,7.216137541651632,3.817614040989773,3.9302855519767514,29.973126960522812,0.3169965612028047,310,46,5,1,13.731020430531077,65.41782373498634,98.89431692465604,8108.377094033447,3.5379244015201317,57.40091305831997,1958.382123864811,39.16295032244072,688.3225429281106
Country A,Central,2018,River,Chlorination,36.77483617278805,8.850696420320531,4.899365695477053,8.397688143438575,0.46454876367730824,18.966559647089632,176,99,14,21,49.6281777293758,41.786982034713034,64.01881043392143,11642.23150667314,77.19950157053897,88.71848422071025,2225.4463905240273,17.62334241732412,1083.825875580153
Country B,North,2022,River,UV,63.327166457997876,5.471887480498793,9.17116062403242,9.964029004932168,20.341792920182684,15.928454993573089,250,98,6,18,39.728634980792954,82.88058539082343,72.28805689810153,4897.875483112587,8.405658400187043,78.68483624336567,2146.7695039238934,39.28396186194642,2318.1999044210647
Country B,West,2022,River,None,66.7594975662431,8.438079910635713,0.09081514967724358,8.675639899563777,38.79498507433354,9.596834901080873,209,88,1,1,13.027395489100012,58.11947132136038,43.09601187008089,10431.485728682062,62.02470434861914,71.64315649720285,1065.4707885276664,20.352844038142955,1416.0321931653934
Country B,South,2022,Well,None,89.07492042133694,8.350781787556745,6.884040088534191,5.009832870303153,35.492099800671475,18.47023741259554,403,77,15,10,20.89139444012623,64.22739510475353,74.01977436415092,8005.292779423105,82.1139921738191,17.571093331514938,924.4329304543618,28.02343316982011,212.69637052613515
Country A,East,2021,Piped,Boiling,83.39545023277569,6.61978913148856,5.654550024509764,10.304611164480086,21.849053659619962,8.27846622215448,222,74,4,21,35.773331434788865,54.75034928013856,49.620415460479364,12717.54895067835,99.09683179226106,75.70490275413658,2491.422015410404,17.20467584287399,1103.5348509135715
Country A,Central,2019,Piped,None,36.672241633327786,6.338603245939032,4.361646179100593,3.6385374147321463,2.552848534801816,8.32273620364041,23,78,13,14,25.879055001191396,93.69615868452429,89.91224898729504,13575.014792765789,41.775020181809296,24.163165156207576,2978.5131858343525,15.038295685631109,3631.3657374088016
Country B,North,2018,River,Chlorination,85.67947210218853,8.42621921977134,5.516558218201991,11.464201341181356,5.827328243150676,9.93612827667086,356,91,0,0,31.819965365579044,58.682979618113265,30.901503984166226,17525.272140696863,18.85935731744456,24.34020728203583,2821.293343369102,30.652390097926393,4033.8390633429644
Country A,Central,2022,Lake,Boiling,43.47182444555199,5.94223266148346,9.784275831960695,3.1962142305377963,0.43952700881768614,16.04464702467926,388,117,19,2,6.430842980670631,69.07334864407284,74.89101436879048,18849.798180025988,59.01087276668395,75.00082532451545,1229.31468983812,30.868076834183814,4304.020747181199
Country A,West,2021,Well,Boiling,38.6465368796684,6.331837669992835,5.860089939083487,4.335467240890592,34.96403603825115,11.005502819456257,324,86,0,18,17.006576783753353,59.88628901443076,68.857011257328,10149.725415600218,16.780768460633443,74.63924968449012,2240.9664503962586,30.206160359671006,2465.4582436086534
Country A,East,2023,Spring,Chlorination,55.080775581578955,6.328272823974929,1.0766772344281972,2.736386851395574,2.42128440259638,17.663261674715155,245,48,17,23,20.12220588811783,95.53905416883822,59.93745476551666,2224.6055250809422,40.2237585773784,15.178736721204045,601.4634499565004,21.937244891524223,378.1964805146486
Country B,East,2023,Well,Chlorination,0.055396676629837494,7.867847372578978,9.572294507043212,10.824561551828284,19.103510471209972,2.4583541235777306,103,26,4,4,14.826093026446102,66.39103328238696,98.19332818941851,6846.262830681831,15.276998092945892,19.700834595563297,2735.0633928883667,10.030242568453763,3535.343023088507
Country C,East,2018,Lake,UV,15.298521746740656,6.336799921023022,3.5342047253320374,8.344881010496994,38.08700103291681,10.963622122752263,325,50,11,4,30.886427809905097,68.03820847742675,83.03969743212377,2836.6826566567897,73.24257236550255,57.65436947661244,2863.1364370892834,35.04397580356074,3952.824389518728
Country B,East,2022,River,Chlorination,9.813928159462392,7.96627342450023,4.271636350617618,8.897619572891166,22.893188259019265,12.907966621170864,319,99,14,0,3.5462853344162273,74.3620403774924,73.69001991669876,12875.946636585437,91.84684190952693,43.545468035117,2629.9136026754954,36.28188001052264,4528.933409258478
Country A,Central,2023,Well,Filtration,56.90346988093795,5.393546960526162,6.448786267787446,6.086110146219438,0.03551057734951235,18.24673450716389,296,54,7,19,19.878320296941922,46.34241919211216,79.89980075321435,2224.5498445192316,24.539425271637285,68.93614670152604,1252.577833618764,19.243540382002905,542.1177793391652
Country C,West,2023,River,Filtration,33.95120618500974,7.148622111383197,2.5802809331093854,10.635395659017991,15.536996414576626,4.956039509390012,163,86,5,9,27.371500856339974,85.41538572290705,65.15988216597036,15182.16651717764,80.65608742539366,11.764041041972666,2355.5042297051577,34.09249964777686,4728.860321118001
Country C,North,2021,Well,Boiling,1.383926749613107,8.448913428703086,4.156288776667911,3.1371787214589277,12.20126923439394,6.774882665775419,199,24,17,5,8.852117451506203,69.22550474267446,70.95025897685669,10667.44857418845,51.75696387976504,50.94780080592122,1948.5506616775301,11.270467126792107,1392.3354695472026
Country A,West,2019,Lake,None,47.68810050182687,5.280217322156631,7.202498140329388,11.36960801152876,12.31277659600627,16.165492896486796,105,62,15,6,32.842368824384685,95.07677837452657,40.17833653222454,2458.245812410247,17.76798014636194,74.6125785034239,2973.6793643697506,35.0304684171194,4931.128178590733
Country A,Central,2019,Piped,UV,53.95619032255391,5.990927337842897,4.259536084865538,10.039296533089136,40.66575530281078,8.935267172333015,402,95,3,28,39.539096115435974,89.03466711667708,89.59714277565789,14261.714853538208,64.15715606735199,47.962269765700036,792.0663090111416,31.326459950753566,1481.0306793173406
Country B,South,2020,Lake,Boiling,89.62998527815218,7.36007920857846,6.834919864125814,9.953611601319988,5.691396530057391,2.9607732828422706,5,82,11,20,34.67494399988144,45.331987206390245,66.77792538212081,1070.8759065354038,18.46907785488774,39.18166238625129,590.5444780134304,37.549437893466276,2547.9980952161436
Country B,South,2022,River,UV,53.158947150385835,7.591167366373512,9.790996552329968,5.241229693183845,37.15598682862657,7.0275101078842095,112,9,14,19,17.54376397360275,45.04302609252007,35.438203086348764,19648.919824554978,30.932214841450858,23.823884157123636,2508.241177855166,11.941777919302348,779.9909647314059
Country C,North,2020,Piped,Boiling,92.87912930598236,8.685411628713808,8.929174564759148,5.658948447365843,36.562606254464455,18.311187279002766,314,31,15,25,39.33293623423248,51.414345320347074,46.50615768741154,15974.050143080663,54.198609125101996,64.6162930666585,2234.410201178468,28.813480576094246,2932.3417450916277
Country C,South,2018,Piped,None,16.79470233033572,6.171010856781489,5.395192382023221,8.62022230791645,23.690365425245503,6.288342690302979,194,69,7,12,21.626423385432464,94.03043834448994,44.52993744491294,12681.582101498036,64.70807487157484,86.3533496878611,2624.0341572933967,18.30344183740897,1874.6277903122145
Country B,West,2023,Well,Filtration,41.410052115277075,6.209145097727751,5.035731383036579,4.443705184274619,26.824293287082867,15.465722032324452,22,0,7,27,46.24521904548014,40.58566037826795,55.73544447171632,14994.546493813032,98.18660347390914,19.74060251311804,2457.6169659655843,17.3667385521336,834.0635954532681
Country C,West,2020,Spring,UV,25.423285407249875,8.525776526564137,0.6263516995549612,8.760754835705281,45.138617410795995,7.919577416507235,497,123,14,23,30.866870975006925,99.93438496641582,95.6014341450382,15706.069031127914,90.14914059784833,47.2405658826239,2742.1979327782105,28.590669466396097,3769.49755792272
Country C,West,2019,Lake,None,3.723996959718545,7.572606587631655,7.384227751088988,9.888991355464366,21.916309150913893,5.778635984795876,293,20,7,23,30.205324468059274,66.648395230735,87.27927004265737,11068.245839881127,23.084533120132246,47.065330558732114,1967.2079641434827,33.652741822328935,2954.188819986805
Country A,Central,2023,Well,Chlorination,73.52441508562806,8.311952136495256,9.826683776115274,8.444919753698013,25.91563552713837,14.46939416691107,436,74,4,18,42.699718696812475,92.72603927278783,95.70923831199562,12780.43920649968,76.6238089118024,33.36219004790039,2490.719272955019,24.86519412096397,1422.7973870086232
Country A,South,2021,River,Boiling,82.4323549259281,7.083627241551786,1.5462429691228952,3.018701813429279,32.05290767409602,12.003575268425147,135,84,18,15,5.852319265239181,45.87292252338335,75.79419683175067,6683.410211313885,22.035375107280142,22.193352759147665,2326.5884189207272,38.063129689820315,1131.6016462224616
Country B,North,2019,Well,UV,2.8407483382997922,6.682394574160117,5.094166100839454,4.882927350742614,5.271973682764197,19.493944354984553,57,1,5,0,22.557622453618208,83.90671462113954,65.1349843147066,12975.334870359706,33.51263306651939,58.58537813638553,2452.609254230027,24.389569704973663,2474.368681232559
Country A,North,2019,River,Boiling,84.34401463626533,7.304008034168543,5.807045766025372,5.411756916515908,31.325698104703715,3.3431564423683358,176,26,16,4,41.13095715002182,74.83054151495995,40.67778000903043,18895.111267402317,24.04652480562538,50.70949227007589,517.5983819773628,26.38356554289533,4351.855225809907
